abivajajaid	a-bi_va-ja-jaid	1.60
abivalmidus	a-bi_val-mi-dus	1.00
abonenti	a-bo-nen-ti	0.07
abordi	a-bor-di	2.47
abordikaart	a-bor-di_kaart	0.13
aborte	a-bor-te	0.93
about	a-bout	1.07
abras	ab-ras	0.13
absoluutklass	ab-so-luut_klass	0.07
absoluutselt	ab-so-luut-selt	0.33
absoluutsest	ab-so-luut-sest	0.20
absoluutset	ab-so-luut-set	3.87
abstraktse	abs-trakt-se	6.07
abstraktseks	abs-trakt-seks	0.87
abstraktsele	abs-trakt-se-le	0.80
abstraktselt	abs-trakt-selt	0.07
abstraktsetes	abs-trakt-se-tes	0.20
abstraktsioonide	abs-trakt-si-oo-ni-de	0.53
absurd	ab-surd	0.20
absurdini	ab-sur-di-ni	0.87
absurdne	ab-surd-ne	0.07
ada	a-da	0.13
äda	ä-da	0.47
ädala	ä-da-la	0.93
address	add-ress	0.40
adekvaatselt	a-dek-vaat-selt	8.40
adekvaatsuse	a-dek-vaat-su-se	1.93
adenoidid	a-de-noi-did	0.13
adenoidide	a-de-noi-di-de	0.07
administraatorid	ad-mi-nis-traa-to-rid	0.93
administratsiooni	ad-mi-nis-trat-si-oo-ni	0.40
adminn	ad-minn	0.07
adminni	ad-min-ni	0.07
admirali	ad-mi-ra-li	0.20
adresseeritud	ad-res-see-ri-tud	1.67
aduda	a-du-da	1.13
adume	a-du-me	0.13
advokaadi	ad-vo-kaa-di	4.27
advokaadibüroo	ad-vo-kaa-di_bü-roo	1.07
advokaadibüroode	ad-vo-kaa-di_bü-roo-de	0.13
advokaadibüroole	ad-vo-kaa-di_bü-roo-le	0.20
advokaadina	ad-vo-kaa-di-na	1.07
advokaat	ad-vo-kaat	0.07
advokaati	ad-vo-kaa-ti	0.20
advokaatidest	ad-vo-kaa-ti-dest	0.13
aed	aed	8.67
aeda	ae-da	0.07
aedadest	ae-da-dest	0.20
aedlinna	aed_lin-na	0.40
aedlinnade	aed_lin-na-de	0.13
aednikuna	aed-ni-ku-na	0.13
aedviljaga	aed_vil-ja-ga	0.20
aeg	aeg	0.60
aega	ae-ga	0.27
aegade	ae-ga-de	0.07
