word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
eirama,ei-ra-ma,eusada,2/3,4,N,0,2.3,6,2852,9,12,875,380,3208,1323,762,2585,7557,0,0,0.25,0,-11,-160,-165,10,0,97,-45,0,0
eirama,ei-ra-ma,eunima,2/3,4,N,0,2.3,6,2852,9,12,831,380,3050,1226,807,2585,7557,0,0,0.25,0,-11,-160,-209,10,-158,0,0,0,0
eirama,ei-ra-ma,eunada,2/3,4,N,0,2.3,6,2852,9,12,831,449,3208,1323,762,2585,7557,0,0,0.25,0,-11,-160,-209,79,0,97,-45,0,0
eirama,ei-ra-ma,eugada,2/3,4,N,0,2.3,6,2852,9,12,792,314,3208,1323,762,2585,7557,0,0,0.25,0,-11,-160,-248,-56,0,97,-45,0,0
eirama,ei-ra-ma,eugima,2/3,4,N,0,2.65,6,2852,9,12,792,339,3050,1226,807,2585,7557,0,0,0.6000000000000001,0,-11,-160,-248,-31,-158,0,0,0,0
eirama,ei-ra-ma,euhima,2/3,4,N,0,2.65,6,2852,9,12,798,178,3050,1226,807,2585,7557,0,0,0.6000000000000001,0,-11,-160,-242,-192,-158,0,0,0,0
eirama,ei-ra-ma,euhada,2/3,4,N,0,2.55,6,2852,9,12,798,172,3208,1323,762,2585,7557,0,0,0.5,0,-11,-160,-242,-198,0,97,-45,0,0
eirama,ei-ra-ma,eudada,2/3,4,N,0,2.45,6,2852,9,12,816,339,3208,1323,762,2585,7557,0,0,0.40000000000000036,0,-11,-160,-224,-31,0,97,-45,0,0
eirama,ei-ra-ma,eudima,2/3,4,N,0,2.6,6,2852,9,12,816,283,3050,1226,807,2585,7557,0,0,0.5500000000000003,0,-11,-160,-224,-87,-158,0,0,0,0
elu,e-lu,utu,2/3,1,N,9,1.55,4,1499,97,367,566,307,674,4323,0,-7,0.44999999999999996,0,-71,-60,-60,75,0,0
elu,e-lu,unu,2/3,1,N,14,1.3,4,1499,97,367,532,228,674,4323,0,-2,0.19999999999999996,0,-71,-60,-94,-4,0,0
elu,e-lu,uru,2/3,1,N,12,1.4,4,1499,97,367,529,125,674,4323,0,-4,0.2999999999999998,0,-71,-60,-97,-107,0,0
elu,e-lu,odu,2/3,1,N,12,1.4,4,1499,175,323,537,239,674,4323,0,-4,0.2999999999999998,0,7,-104,-89,7,0,0
elu,e-lu,otu,2/3,1,N,8,1.6,4,1499,175,323,566,307,674,4323,0,-8,0.5,0,7,-104,-60,75,0,0
elu,e-lu,osu,2/3,1,N,12,1.4,4,1499,175,323,543,243,674,4323,0,-4,0.2999999999999998,0,7,-104,-83,11,0,0
elu,e-lu,itu,2/3,1,N,10,1.5,4,1499,155,524,566,307,674,4323,0,-6,0.3999999999999999,0,-13,97,-60,75,0,0
elu,e-lu,iru,2/3,1,N,11,1.45,4,1499,155,524,529,125,674,4323,0,-5,0.34999999999999987,0,-13,97,-97,-107,0,0
